station_id,station_name_jp,station_name_en
1110709,帯広,Obihiro
1110710,札内,Satsunai
1110711,稲士別,Inashibetsu
1110712,幕別,Makubetsu
1110713,利別,Toshibetsu
1110714,池田,Ikeda
1110715,十弗,Toofutsu
1110716,豊頃,Toyokoro
1110717,新吉野,Shinnyoshino
1110718,浦幌,Urahoro
1110719,上厚内,Kamiatsunai
1110720,厚内,Atsunai
1110721,直別,Chokubetsu
1110722,尺別,Shakubetsu
1110723,音別,Onnbetsu
1110724,古瀬,Furuse
1110725,白糠,Shiranuka
1110726,西庶路,Nishishoro
1110727,庶路,Shoro
1110728,大楽毛,Otanoshike
1110729,新大楽毛,Shinnotanoshike
1110730,新富士,Shinfuji
1110731,釧路,Kushiro
1110801,釧路,Kushiro
1110802,東釧路,Higashikushiro
1110803,武佐,Musa
1110804,別保,Beppo
1110805,上尾幌,Kamioboro
1110806,尾幌,Oboro
1110807,門静,Monnshizu
1110808,厚岸,Akkeshi
1110809,糸魚沢,Itoizawa
1110810,茶内,Chanai
1110811,浜中,Hamanaka
1110812,姉別,Anebetsu
1110813,厚床,Attoko
1110814,初田牛,Hattaushi
1110815,別当賀,Bettoga
1110816,落石,Ochiishi
1110817,昆布盛,Konnbumori
1110818,西和田,Nishiwada
1110819,花咲,Hanasaki
1110820,東根室,Higashinemuro
1110821,根室,Nemuro
1110901,苫小牧,Tomakomai
1110902,沼ノ端,Numanohata
1110903,植苗,Uenae
1110904,美々,Bibi
1110905,新千歳空港,Shinnchitosekuukou
1110906,南千歳,Minamichitose
1110907,千歳,Chitose
1110908,長都,Osatsu
1110909,サッポロビール庭園,Sapporobi-Ruteienn
1110910,恵庭,Eniwa
1110911,恵み野,Megumino
1110912,島松,Shimamatsu
1110913,北広島,Kitahiroshima
1110914,上野幌,Kaminopporo
1110915,新札幌,Shinnsapporo
1110916,平和,Heiwa
1110917,白石,Shiroishi
1110918,苗穂,Naebo
1110919,札幌,Sapporo
1111001,南千歳,Minamichitose
1111002,追分,Oiwake
1111003,東追分,Higashioiwake
1111004,川端,Kawabata
1111005,滝ノ上,Takinoue
1111006,十三里,Tomisato
1111007,新夕張,Shinnyuubari
1111008,沼ノ沢,Numanosawa
1111009,南清水沢,Minamishimizusawa
1111010,清水沢,Shimizusawa
1111011,鹿ノ谷,Shikanotani
1111012,夕張,Yuubari
1111013,占冠,Shimukappu
1111014,トマム,Tomamu
1111015,新得,Shinntoku
1111101,苫小牧,Tomakomai
1111102,勇払,Yuufutsu
1111103,浜厚真,Hamaatsuma
1111104,浜田浦,Hamataura
1111105,鵡川,Mukawa
1111106,汐見,Shiomi
1111107,富川,Tomikawa
1111108,日高門別,Hidakamonnbetsu
1111109,豊郷,Toyosato
1111110,清畠,Kiyohata
1111111,厚賀,Atsuga
1111112,大狩部,Ookaribe
1111113,節婦,Seppu
1111114,新冠,Niikappu
1111115,静内,Shizunai
1111116,静内海水浴場,Shizunai-Kaisuiyokuj
1111117,東静内,Higashishizunai
1111118,春立,Harutachi
1111119,日高東別,Hidakatoubetsu
1111120,日高三石,Hidakamitsuishi
1111121,蓬栄,Houei
1111122,本桐,Honnkiri
1111123,荻伏,Ogifushi
1111124,絵笛,Efue
1111125,浦河,Urakawa
1111126,東町,Higashichou
1111127,日高幌別,Hidakahorobetsu
1111128,鵜苫,Utoma
1111129,西様似,Nishisamani
1111130,様似,Samani
1111201,札幌,Sapporo
1111202,桑園,Souenn
1111203,八軒,Hachikenn
1111204,新川,Shinnkawa
1111205,新琴似,Shinnkotoni
1111206,太平,Taihei
1111207,百合が原,Yurigahara
1111208,篠路,Shinoro
1111209,拓北,Takuhoku
1111210,あいの里教育大,Ainosatokyouikudai
1111211,あいの里公園,Ainosatokouenn
1111231,ロイズタウン,Royce' Town
1111212,太美,Futomi
1111213,当別,Toubetsu
1111214,北海道医療大学,Hokkaidouiryoudaigaku
1111215,石狩金沢,Ishikarikanazawa
1111216,本中小屋,Motonakagoya
1111217,中小屋,Nakagoya
1111218,月ケ岡,Tsukigaoka
1111219,知来乙,Chiraiotsu
1111220,石狩月形,Ishikaritsukigata
1111221,豊ケ岡,Toyogaoka
1111222,札比内,Sappinai
1111223,晩生内,Osokinai
1111224,札的,Satteki
1111225,浦臼,Urausu
1111226,鶴沼,Tsurunuma
1111227,於札内,Osatsunai
1111228,南下徳富,Minamishimotoppu
1111229,下徳富,Shimotoppu
1111230,新十津川,Shinntotsukawa
1111301,深川,Fukagawa
1111302,北一已,Kitaichiyann
1111303,秩父別,Chippubetsu
1111304,北秩父別,Kitachippubetsu
1111305,石狩沼田,Ishikarinumata
1111306,真布,Mappu
1111307,恵比島,Ebishima
1111308,峠下,Tougeshita
1111309,幌糠,Horonuka
1111310,藤山,Fujiyama
1111311,大和田,Oowada
1111312,留萌,Rumoi
1111313,瀬越,Segoshi
1111314,浜中海水浴場,Hamanakakaisuizyou
1111315,礼受,Reuke
1111316,阿分,Afunn
1111317,信砂,Nobusha
1111318,舎熊,Shaguma
1111319,朱文別,Shumonnbetsu
1111320,箸別,Hashibetsu
1111321,増毛,Mashike
1111401,旭川,Asahikawa
1111402,神楽岡,Kaguraoka
1111403,緑が丘,Midorigaoka
1111404,西御料,Nishigoryou
1111405,西瑞穂,Nishimizuho
1111406,西神楽,Nishikagura
1111407,西聖和,Nishiseiwa
1111408,千代ケ岡,Chiyogaoka
1111409,北美瑛,Kitabiei
1111410,美瑛,Biei
1111411,美馬牛,Bibaushi
1111412,上富良野,Kamifurano
1111413,西中,Nishinaka
1111414,ラベンダー畑,Rabennda-Batake
1111415,中富良野,Nakafurano
1111416,鹿討,Shikauchi
1111417,学田,Gakudenn
1111418,富良野,Furano
1111501,旭川,Asahikawa
1111502,旭川四条,Asahikawayojou
1111503,新旭川,Shinnasahikawa
1111504,永山,Nagayama
1111505,北永山,Kitanagayama
1111506,南比布,Minamipippu
1111507,比布,Pippu
1111508,北比布,Kitapippu
1111509,蘭留,Rannru
1111510,塩狩,Shiokari
1111511,和寒,Wassamu
1111512,東六線,Higashirokusenn
1111513,剣淵,Kennbuchi
1111514,北剣淵,Kitakennbuchi
1111515,士別,Shibetsu
1111516,下士別,Shimoshibetsu
1111517,多寄,Tayoro
1111518,瑞穂,Mizuho
1111519,風連,Fuurenn
1111520,名寄高校,Nayoro High School
1111521,名寄,Nayoro
1111522,日進,Nisshinn
1111523,北星,Hokusei
1111524,智恵文,Chiebunn
1111525,智北,Chihoku
1111526,南美深,Minamibifuka
1111527,美深,Bifuka
1111528,初野,Hatsuno
1111529,紋穂内,Monnponai
1111530,恩根内,Onnnenai
1111531,豊清水,Toyoshimizu
1111532,天塩川温泉,Teshiogawaonnsenn
1111533,咲来,Sakkuru
1111534,音威子府,Otoineppu
1111535,筬島,Osashima
1111536,佐久,Saku
1111537,天塩中川,Teshionakagawa
1111538,歌内,Utanai
1111539,問寒別,Toikannbetsu
1111540,糠南,Nukanann
1111541,雄信内,Onoppunai
1111542,安牛,Yasuushi
1111543,南幌延,Minamihoronobe
1111544,上幌延,Kamihoronobe
1111545,幌延,Horonobe
1111546,下沼,Shimonuma
1111547,豊富,Toyotomi
1111548,徳満,Tokumitsu
1111549,兜沼,Kabutonuma
1111550,勇知,Yuuchi
1111551,抜海,Bakkai
1111552,南稚内,Minamiwakkanai
1111553,稚内,Wakkanai
1111601,旭川,Asahikawa
1111602,旭川四条,Asahikawayojou
1111603,新旭川,Shinnasahikawa
1111604,南永山,Minaminagayama
1111605,東旭川,Higashiasahikawa
1111606,北日ノ出,Kitahinode
1111607,桜岡,Sakuraoka
1111608,当麻,Touma
1111609,将軍山,Shougunnzann
1111610,伊香牛,Ikaushi
1111611,愛別,Aibetsu
1111612,中愛別,Nakaaibetsu
1111613,愛山,Aizann
1111614,安足間,Anntaroma
1111615,東雲,Touunn
1111616,上川,Kamikawa
1111617,上白滝,Kamishirataki
1111618,白滝,Shirataki
1111619,旧白滝,Kyuushirataki
1111620,下白滝,Shimoshirataki
1111621,丸瀬布,Maruseppu
1111622,瀬戸瀬,Setose
1111623,遠軽,Enngaru
1111624,安国,Yasukuni
1111625,生野,Ikuno
1111626,生田原,Ikutahara
1111627,金華,Kanehana
1111628,西留辺蘂,Nishirubeshibe
1111629,留辺蘂,Rubeshibe
1111630,相内,Ainonai
1111631,東相内,Higashiainonai
1111632,西北見,Nishikitami
1111633,北見,Kitami
1111634,柏陽,Hakuyou
1111635,愛し野,Itoshino
1111636,端野,Tannno
1111637,緋牛内,Hiushinai
1111638,美幌,Bihoro
1111639,西女満別,Nishimemannbetsu
1111640,女満別,Memannbetsu
1111641,呼人,Yobito
1111642,網走,Abashiri
1111701,網走,Abashiri
1111702,桂台,Katsuradai
1111703,鱒浦,Masuura
1111704,藻琴,Mokoto
1111705,北浜,Kitahama
1111706,原生花園,Gennseikaenn
1111707,浜小清水,Hamakoshimizu
1111708,止別,Yamubetsu
1111709,知床斜里,Shiretokoshari
1111710,中斜里,Nakashari
1111711,南斜里,Minamishari
1111712,清里町,Kiyosatochou
1111713,札弦,Sattsuru
1111714,緑,Midori
1111715,川湯温泉,Kawayuonnsenn
1111716,美留和,Biruwa
1111717,摩周,Mashuu
1111718,南弟子屈,Minamiteshikaga
1111719,磯分内,Isobunnnai
1111720,標茶,Shibecha
1111721,五十石,Gojikkoku
1111722,茅沼,Kayanuma
1111723,塘路,Touro
1111724,細岡,Hosooka
1111725,釧路湿原,Kushiroshitsugenn
1111726,遠矢,Tooya
1111727,東釧路,Higashikushiro
1111728,釧路,Kushiro
1111801,中小国,Nakaoguni
1111802,奥津軽いまべつ,Okutsugaru-Imabetsu
1111803,竜飛海底,Tappikaitei
1111804,吉岡海底,Yoshiokakaitei
1111805,知内,Shiriuchi
1111806,木古内,Kikonai
1111901,江差,Esashi
1111902,上ノ国,Kaminokuni
1111903,中須田,Nakasuda
1111904,桂岡,Katsuraoka
1111905,宮越,Miyakoshi
1111906,湯ノ岱,Yunotai
1111907,神明,Shinnmei
1111908,吉堀,Yoshibori
1111909,渡島鶴岡,Oshimatsuruoka
1111910,木古内,Kikonai
1111911,札苅,Satsukari
1111912,泉沢,Izumisawa
1111913,釜谷,Kamaya
1111914,渡島当別,Oshimatoubetsu
1111915,茂辺地,Moheji
1111916,上磯,Kamiiso
1111917,清川口,Kiyokawaguchi
1111918,久根別,Kunebetsu
1111919,東久根別,Higashikunebetsu
1111920,七重浜,Nanaehama
1111921,五稜郭,Goryoukaku
1111922,函館,Hakodate
1120101,八戸,Hachinohe
1120201,新庄,Shinjo
1120202,泉田,Izumita
1120203,羽前豊里,Uzenntoyosato
1120204,真室川,Mamurogawa
1120205,釜淵,Kamabuchi
1120206,大滝,Ootaki
1120207,及位,Nozoki
1120208,院内,Innnai
1120209,横堀,Yokobori
1120210,三関,Mitsuseki
1120211,上湯沢,Kamiyuzawa
1120212,湯沢,Yuzawa
1120213,下湯沢,Shimoyuzawa
1120214,十文字,Juumonnji
1120215,醍醐,Daigo
1120216,柳田,Yanagita
1120217,横手,Yokote
1120218,後三年,Gosannnenn
1120219,飯詰,Iidume
1120220,大曲,Omagari
1120221,神宮寺,Jinnguuji
1120222,刈和野,Kariwano
1120223,峰吉川,Mineyoshikawa
1120224,羽後境,Ugosakai
1120225,大張野,Oobarino
1120226,和田,Wada
1120227,四ツ小屋,Yotsugoya
1120228,秋田,Akita
1120267,泉外旭川,Izumi-Sotoasahikawa
1120229,土崎,Tsuchizaki
1120230,上飯島,Kamiiijima
1120231,追分,Oiwake
1120232,大久保,Ookubo
1120233,羽後飯塚,Ugoiiduka
1120234,井川さくら,Ikawasakura
1120235,八郎潟,Hachirougata
1120236,鯉川,Koikawa
1120237,鹿渡,Kado
1120238,森岳,Moritake
1120239,北金岡,Kitakanaoka
1120240,東能代,Higashinoshiro
1120241,鶴形,Tsurugata
1120242,富根,Tomine
1120243,二ツ井,Futatsui
1120244,前山,Maeyama
1120245,鷹ノ巣,Takanosu
1120246,糠沢,Nukazawa
1120247,早口,Hayaguchi
1120248,下川沿,Shimokawazoi
1120249,大館,Oodate
1120250,白沢,Shirasawa
1120251,陣場,Jinnba
1120252,津軽湯の沢,Tsugaruyunosawa
1120253,碇ケ関,Ikarigaseki
1120254,長峰,Nagamine
1120255,大鰐温泉,Oowanionnsenn
1120256,石川,Ishikawa
1120257,弘前,Hirosaki
1120258,撫牛子,Naijoushi
1120259,川部,Kawabe
1120260,北常盤,Kitatokiwa
1120261,浪岡,Namioka
1120262,大釈迦,Daishaka
1120263,鶴ケ坂,Tsurugasaka
1120264,津軽新城,Tsugarushinnjou
1120265,新青森,Shin-Aomori
1120266,青森,Aomori
1120301,野辺地,Noheji
1120302,北野辺地,Kitanoheji
1120303,有戸,Arito
1120304,吹越,Fukkoshi
1120305,陸奥横浜,Mutsuyokohama
1120306,有畑,Arihata
1120307,近川,Chikagawa
1120308,金谷沢,Kanayasawa
1120309,赤川,Akagawa
1120310,下北,Shimokita
1120311,大湊,Oominato
1120401,東能代,Higashinoshiro
1120402,能代,Noshiro
1120403,向能代,Mukainoshiro
1120404,北能代,Kitanoshiro
1120405,鳥形,Torigata
1120406,沢目,Sawame
1120407,東八森,Higashihachimori
1120408,八森,Hachimori
1120409,滝ノ間,Takinoma
1120410,あきた白神,Akitashirakami
1120411,岩館,Iwadate
1120412,大間越,Oomagoshi
1120413,白神岳登山口,Shirakamidaketozannguchi
1120414,松神,Matsukami
1120415,十二湖,Juuniko
1120416,陸奥岩崎,Mutsuiwasaki
1120417,陸奥沢辺,Mutsusawabe
1120418,ウェスパ椿山,Wesupatsubakiyama
1120419,艫作,Henashi
1120420,横磯,Yokoiso
1120421,深浦,Fukaura
1120422,広戸,Hiroto
1120423,追良瀬,Oirase
1120424,驫木,Todoroki
1120425,風合瀬,Kasose
1120426,大戸瀬,Oodose
1120427,千畳敷,Sennjoujiki
1120428,北金ケ沢,Kita-Kanegasawa
1120429,陸奥柳田,Mutsuyanagita
